frequency_hz,response_amplitude_quarter,response_amplitude_half
600.0,0.031751680253046415,0.03155748520001058
610.0,0.03942149622287513,0.039637787003594445
620.0,0.034843320947935685,0.03476167416029345
630.0,0.03618819528230391,0.036100107977835624
640.0,0.03792119603250433,0.037831616797339256
650.0,0.04015172576438066,0.040061220721637626
660.0,0.04347204965501713,0.043370736231284096
670.0,0.057469927480217224,0.0565292095112784
680.0,0.041331138082341706,0.04100337163681297
690.0,0.04752737317261491,0.047342182620567
700.0,0.0527101599513773,0.052534993346169935
710.0,0.05890683230703282,0.05869839349071501
720.0,0.06807273482076666,0.06756507644708205
730.0,0.07155673401173877,0.06894677802008249
740.0,0.09117432878704224,0.09018542365669749
750.0,0.12369262040664585,0.12149806009214413
760.0,0.22621918197313814,0.21383678126237318
770.0,0.7675251647164875,1.4550602509229038
780.0,0.06608727822121666,0.07963709942327683
790.0,0.017260336008279184,0.01679132438942959
800.0,0.05068104938852212,0.043285009496194474
810.0,0.42721462882758693,0.15627621851894832
820.0,0.032587330901905576,0.024983887322674658
830.0,0.0738826750341876,0.07004350913397143
840.0,0.12147964919702475,0.11784839793689754
850.0,0.2943423479675343,0.2824029078222792
860.0,0.23433799969177183,0.23045370577594562
870.0,3.34507450049047,2.5489565934135308
880.0,0.18138941867109806,0.20674690228878784
890.0,1.6421190278138884,0.2284811032680732
900.0,0.7264456248883773,1.086404801633281
910.0,0.14772964095961244,0.12446200904796187
920.0,6.594250869328625,3.0534042524268195
930.0,0.5534794909775894,0.5803286827683205
940.0,0.3462691167898718,0.35424499713815094
950.0,0.2912871191198577,0.2980538925351214
960.0,0.2898640940303381,0.3004242692022316
970.0,0.35764651196982367,0.38654695324545163
980.0,0.8736184834754688,1.2980207101989518
990.0,0.4591801963097364,0.3500285719229566
1000.0,0.11785719307581555,0.10370638139633923
